Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sorting_markers,source_name,SRA Study,strain,tissue
SRR6466918,6 weeks old,RNA-Seq,50,588385950,PRJNA429735,SAMN08358269,247519766,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556867,GSM2932500,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:04:00Z,1,GSM2932500,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466919,6 weeks old,RNA-Seq,50,871523800,PRJNA429735,SAMN08358268,383508647,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556868,GSM2932501,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:52:00Z,1,GSM2932501,CD19+B220+IgD-Fas-CD38+IgG+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466920,6 weeks old,RNA-Seq,50,662947750,PRJNA429735,SAMN08358267,288940424,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556869,GSM2932502,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:51:00Z,1,GSM2932502,CD19+CD45R+IgM++CD93-CD23-CD21/35++,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466921,6 weeks old,RNA-Seq,50,520807300,PRJNA429735,SAMN08358266,219408326,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556870,GSM2932503,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:02:00Z,1,GSM2932503,CD19+CD45R+IgM++CD93-CD23-CD21/35++,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466922,6 weeks old,RNA-Seq,50,424615500,PRJNA429735,SAMN08358265,186022134,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556871,GSM2932504,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:46:00Z,1,GSM2932504,sorted on GFPlo CD138+ MHCIIhi (dump: NK1.1- TCRb- Gr1- CD11b-),Spleen,SRP128986,C57BL/6J,Spleen
SRR6466923,6 weeks old,RNA-Seq,50,406398500,PRJNA429735,SAMN08358264,173328232,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556872,GSM2932505,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:56:00Z,1,GSM2932505,sorted on GFPlo CD138+ MHCIIhi (dump: NK1.1- TCRb- Gr1- CD11b-),Spleen,SRP128986,C57BL/6J,Spleen
SRR6466924,6 weeks old,RNA-Seq,50,352937100,PRJNA429735,SAMN08358263,152970080,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556873,GSM2932506,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:52:00Z,1,GSM2932506,sorted on GFPhi CD138+ MHCIIlo (dump: NK1.1- TCRb- Gr1- CD11b-),Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466925,6 weeks old,RNA-Seq,50,398359550,PRJNA429735,SAMN08358262,171057212,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556874,GSM2932507,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:54:00Z,1,GSM2932507,sorted on GFPhi CD138+ MHCIIlo (dump: NK1.1- TCRb- Gr1- CD11b-),Splenic,SRP128986,C57BL/6J,Splenic
SRR6466926,6 weeks old,RNA-Seq,50,637266400,PRJNA429735,SAMN08358261,270486110,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556875,GSM2932508,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:02:00Z,1,GSM2932508,CD19+Igm+TCRb-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466927,6 weeks old,RNA-Seq,50,712254900,PRJNA429735,SAMN08358260,297916097,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556876,GSM2932509,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:59:00Z,1,GSM2932509,CD19+CD45R+IgM++CD93+CD23-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466928,6 weeks old,RNA-Seq,50,768854600,PRJNA429735,SAMN08358259,332538454,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556877,GSM2932510,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:49:00Z,1,GSM2932510,CD19+CD45R+IgM++CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466929,6 weeks old,RNA-Seq,50,597227600,PRJNA429735,SAMN08358258,249525922,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556878,GSM2932511,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:00:00Z,1,GSM2932511,CD19+CD45R+IgM++CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466930,6 weeks old,RNA-Seq,50,450988800,PRJNA429735,SAMN08358257,194788468,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556879,GSM2932512,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:59:00Z,1,GSM2932512,CD19+CD45R+IgM+CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466931,6 weeks old,RNA-Seq,50,595082000,PRJNA429735,SAMN08358256,249269276,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556880,GSM2932513,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:01:00Z,1,GSM2932513,CD19+CD45R+IgM++CD93-CD23-CD43+CD5-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466932,6 weeks old,RNA-Seq,50,632212050,PRJNA429735,SAMN08358255,274787886,B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556881,GSM2932514,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:53:00Z,1,GSM2932514,CD19+CD45R+IgM++CD93-CD23-CD43+CD5-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466933,6 weeks old,RNA-Seq,50,726688600,PRJNA429735,SAMN08358254,305493701,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556882,GSM2932515,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:00:00Z,1,GSM2932515,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466934,6 weeks old,RNA-Seq,50,715620550,PRJNA429735,SAMN08358253,310945936,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556883,GSM2932516,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:53:00Z,1,GSM2932516,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466935,6 weeks old,RNA-Seq,50,486751850,PRJNA429735,SAMN08358252,205372752,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556884,GSM2932517,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:01:00Z,1,GSM2932517,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466936,6 weeks old,RNA-Seq,50,619338950,PRJNA429735,SAMN08358251,259990161,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556885,GSM2932518,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:01:00Z,1,GSM2932518,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466937,6 weeks old,RNA-Seq,50,163023350,PRJNA429735,SAMN08358250,70755738,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556886,GSM2932519,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:57:00Z,1,GSM2932519,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466938,6 weeks old,RNA-Seq,50,717946600,PRJNA429735,SAMN08358249,311933809,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556887,GSM2932520,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:55:00Z,1,GSM2932520,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466939,6 weeks old,RNA-Seq,50,308067200,PRJNA429735,SAMN08358248,129449501,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556888,GSM2932521,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:57:00Z,1,GSM2932521,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466940,6 weeks old,RNA-Seq,50,678300350,PRJNA429735,SAMN08358247,284895784,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556889,GSM2932522,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:02:00Z,1,GSM2932522,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466941,6 weeks old,RNA-Seq,50,760852600,PRJNA429735,SAMN08358246,331228837,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556890,GSM2932523,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:54:00Z,1,GSM2932523,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466942,6 weeks old,RNA-Seq,50,834981450,PRJNA429735,SAMN08358245,362136349,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556891,GSM2932524,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:56:00Z,1,GSM2932524,CD45lo CD11b+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466943,6 weeks old,RNA-Seq,50,573761100,PRJNA429735,SAMN08358244,241125742,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556892,GSM2932525,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:03:00Z,1,GSM2932525,CD45lo CD11b+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466944,6 weeks old,RNA-Seq,50,486041900,PRJNA429735,SAMN08358243,204878748,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556893,GSM2932526,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:00:00Z,1,GSM2932526,CD45-Ly51loMHC-IIhiEPCAMhi,Thymus,SRP128986,C57BL/6J,Thymus
SRR6466945,6 weeks old,RNA-Seq,50,578455100,PRJNA429735,SAMN08358242,251963115,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556894,GSM2932527,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:56:00Z,1,GSM2932527,CD45-Ly51loMHC-IIhiEPCAMhi,Thymus,SRP128986,C57BL/6J,Thymus
SRR6466946,6 weeks old,RNA-Seq,50,542904050,PRJNA429735,SAMN08358241,231306263,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556895,GSM2932528,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:55:00Z,1,GSM2932528,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466947,6 weeks old,RNA-Seq,50,616287100,PRJNA429735,SAMN08358240,271183089,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556896,GSM2932529,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:47:00Z,1,GSM2932529,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466948,6 weeks old,RNA-Seq,50,719570100,PRJNA429735,SAMN08358239,304049591,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556897,GSM2932530,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T09:03:00Z,1,GSM2932530,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466949,6 weeks old,RNA-Seq,50,622649150,PRJNA429735,SAMN08358324,271044192,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556898,GSM2932531,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:49:00Z,1,GSM2932531,CD11b+ Ly6G+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466950,6 weeks old,RNA-Seq,50,386537200,PRJNA429735,SAMN08358323,164853384,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556899,GSM2932532,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:56:00Z,1,GSM2932532,CD11b+ Ly6G+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466951,6 weeks old,RNA-Seq,50,736874700,PRJNA429735,SAMN08358322,319829528,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556900,GSM2932533,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:50:00Z,1,GSM2932533,CD11b+ Ly6G+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466952,6 weeks old,RNA-Seq,50,534253450,PRJNA429735,SAMN08358321,224111771,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556901,GSM2932534,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:58:00Z,1,GSM2932534,CD11b+ Ly6G+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466953,6 weeks old,RNA-Seq,50,531790700,PRJNA429735,SAMN08358320,235097527,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556902,GSM2932535,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:50:00Z,1,GSM2932535,CD11b+ Ly6G+,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466954,6 weeks old,RNA-Seq,50,435289300,PRJNA429735,SAMN08358319,182377664,Granulocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556903,GSM2932536,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:58:00Z,1,GSM2932536,CD11b+ Ly6G+,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466955,6 weeks old,RNA-Seq,50,334337800,PRJNA429735,SAMN08358318,149936738,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556904,GSM2932537,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:47:00Z,1,GSM2932537,CD45- CD31- PDPN- ITGA7+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466956,6 weeks old,RNA-Seq,50,351861600,PRJNA429735,SAMN08358317,152720583,Stromal Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3556905,GSM2932538,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-01-23T00:00:00Z,2018-01-12T08:58:00Z,1,GSM2932538,CD45- CD31- PDPN- ITGA7+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
