Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sorting_markers,source_name,SRA Study,strain,create_date,version
SRR8147044,15 weeks old,RNA-Seq,50,762397000,PRJNA503607,SAMN10366052,313499866,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967540,GSM3455035,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455035,F4/80 ICAM2,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:20:00Z,1
SRR8147045,15 weeks old,RNA-Seq,50,572475000,PRJNA503607,SAMN10366124,242934657,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967541,GSM3455036,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455036,F4/80 ICAM2,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147046,6 weeks old,RNA-Seq,50,617211050,PRJNA503607,SAMN10366123,260446050,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967542,GSM3455037,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455037,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147047,6 weeks old,RNA-Seq,50,1005488500,PRJNA503607,SAMN10366122,420870465,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967543,GSM3455038,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455038,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:21:00Z,1
SRR8147048,6 weeks old,RNA-Seq,50,420843850,PRJNA503607,SAMN10366121,187989182,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967544,GSM3455039,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455039,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147049,6 weeks old,RNA-Seq,50,556558500,PRJNA503607,SAMN10366120,244998112,Macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967545,GSM3455040,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455040,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T06:36:00Z,1
SRR8147050,6 weeks old,RNA-Seq,50,264782550,PRJNA503607,SAMN10366119,111197878,Macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967546,GSM3455041,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455041,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T06:35:00Z,1
SRR8147051,6 weeks old,RNA-Seq,50,520451400,PRJNA503607,SAMN10366080,215180209,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967547,GSM3455042,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455042,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:22:00Z,1
SRR8147052,6 weeks old,RNA-Seq,50,533775850,PRJNA503607,SAMN10366079,221132942,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967548,GSM3455043,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455043,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147053,6 weeks old,RNA-Seq,50,651669800,PRJNA503607,SAMN10366077,271876554,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967549,GSM3455044,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455044,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147054,6 weeks old,RNA-Seq,50,849993850,PRJNA503607,SAMN10366075,354656077,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967550,GSM3455045,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455045,F4/80+ ICAM2+ CD3- CD19- Ter119-,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:20:00Z,1
SRR8147055,E10.5 weeks old,RNA-Seq,50,530651800,PRJNA503607,SAMN10366073,223210640,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967551,GSM3455046,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455046,c-kit+ CD41+ CD16/32+,yolk sac,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147056,E10.5 weeks old,RNA-Seq,50,518345850,PRJNA503607,SAMN10366072,217143722,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967552,GSM3455047,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455047,c-kit+ CD41+ CD16/32+,yolk sac,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147057,6 weeks old,RNA-Seq,50,644934400,PRJNA503607,SAMN10366071,272532863,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967553,GSM3455048,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455048,CD11b+ F4/80+,Cell (Embryonic Body),SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147058,6 weeks old,RNA-Seq,50,763405300,PRJNA503607,SAMN10366069,320837144,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967554,GSM3455049,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455049,CD11b+ F4/80+,Cell (Embryonic Body),SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147059,6 weeks old,RNA-Seq,50,651109650,PRJNA503607,SAMN10366084,274011855,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967555,GSM3455050,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455050,CD11b+ F4/80+,Cell (Embryonic Body),SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147060,6 weeks old,RNA-Seq,50,576184000,PRJNA503607,SAMN10366082,242374850,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967556,GSM3455051,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455051,CD11b+ F4/80+,Cell (Embryonic Body),SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147061,6 weeks old,RNA-Seq,50,689270450,PRJNA503607,SAMN10366051,288768950,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967557,GSM3455052,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455052,F4/80+ICAM2+,Peritoneal,SRP167701,Tnnt2-DTR CCR2GFP Flt3-Cre Rosa26-tdTomato,2018-11-04T02:19:00Z,1
SRR8147062,6 weeks old,RNA-Seq,50,527986800,PRJNA503607,SAMN10366050,219363816,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967558,GSM3455053,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455053,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,Spleen,SRP167701,C57BL/6J,2018-11-04T02:22:00Z,1
SRR8147063,6 weeks old,RNA-Seq,50,317320400,PRJNA503607,SAMN10366049,135963662,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967559,GSM3455054,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455054,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1-,Spleen,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147064,6 weeks old,RNA-Seq,50,649502400,PRJNA503607,SAMN10366048,270038991,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967560,GSM3455055,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455055,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,Spleen,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147065,6 weeks old,RNA-Seq,50,453595050,PRJNA503607,SAMN10366047,189536478,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967561,GSM3455056,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455056,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a+XCR1+,Spleen,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147066,6 weeks old,RNA-Seq,50,481523300,PRJNA503607,SAMN10366046,201472040,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967562,GSM3455057,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455057,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,Spleen,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147067,6 weeks old,RNA-Seq,50,380159300,PRJNA503607,SAMN10366045,160581681,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967563,GSM3455058,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455058,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1-,Spleen,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147068,6 weeks old,RNA-Seq,50,507031050,PRJNA503607,SAMN10366043,210855115,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967564,GSM3455059,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455059,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,Spleen,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147069,6 weeks old,RNA-Seq,50,528575650,PRJNA503607,SAMN10366041,220822146,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967565,GSM3455060,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455060,LiveDead-CD19-CD3e-NK1.1-GR1-CD11chiCD24+SIRPa-CD8a-XCR1+,Spleen,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147070,6 weeks old,RNA-Seq,50,650633050,PRJNA503607,SAMN10366040,271242507,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967566,GSM3455061,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455061,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,Spleen,SRP167701,SiglecHCre x RosaLSLRFP,2018-11-04T02:18:00Z,1
SRR8147071,6 weeks old,RNA-Seq,50,334035900,PRJNA503607,SAMN10366038,143217620,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967567,GSM3455062,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455062,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP-,Spleen,SRP167701,SiglecHCre x RosaLSLRFP,2018-11-04T02:17:00Z,1
SRR8147072,6 weeks old,RNA-Seq,50,453140750,PRJNA503607,SAMN10366037,189865936,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967568,GSM3455063,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455063,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,Spleen,SRP167701,SiglecHCre x RosaLSLRFP,2018-11-04T02:17:00Z,1
SRR8147073,6 weeks old,RNA-Seq,50,543453500,PRJNA503607,SAMN10366035,226107358,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967569,GSM3455064,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455064,Aquadead- lin- Dump- CD64- CD11c high Bst2- CD11b+ CD8a- RFP+,Spleen,SRP167701,SiglecHCre x RosaLSLRFP,2018-11-04T02:18:00Z,1
SRR8147074,6 weeks old,RNA-Seq,50,582818400,PRJNA503607,SAMN10366034,245419731,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967570,GSM3455065,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455065,LiveDead-F4/80+ICAM-2+,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147075,6 weeks old,RNA-Seq,50,637284450,PRJNA503607,SAMN10366032,267531402,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967571,GSM3455066,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455066,LiveDead-F4/80+ICAM-2+,Peritoneal Cavity,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147076,6 weeks old,RNA-Seq,50,693930100,PRJNA503607,SAMN10366027,284182801,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967572,GSM3455067,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455067,Lin-CD11c+MHCII+XCR1+SIRPa-,Thymus,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147077,6 weeks old,RNA-Seq,50,724580800,PRJNA503607,SAMN10366025,297960533,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967573,GSM3455068,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455068,Lin-CD11c+MHCII+XCR1+SIRPa-,Thymus,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147078,6 weeks old,RNA-Seq,50,793267350,PRJNA503607,SAMN10366024,323776124,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967574,GSM3455069,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455069,Lin-CD11c+MHCII+XCR1+SIRPa-,Thymus,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147079,6 weeks old,RNA-Seq,50,645617200,PRJNA503607,SAMN10366022,262908585,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967575,GSM3455070,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455070,Lin-CD11c+MHCII+XCR1+SIRPa-,Thymus,SRP167701,C57BL/6J,2018-11-04T02:18:00Z,1
SRR8147080,6 weeks old,RNA-Seq,50,514196700,PRJNA503607,SAMN10366021,215505716,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967576,GSM3455071,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455071,Lin-CD11c+MHCII+XCR1-SIRPa+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147081,6 weeks old,RNA-Seq,50,787630750,PRJNA503607,SAMN10366019,323009032,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967577,GSM3455072,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455072,Lin-CD11c+MHCII+XCR1-SIRPa+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147082,6 weeks old,RNA-Seq,50,738674550,PRJNA503607,SAMN10366030,301743603,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967578,GSM3455073,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455073,Lin-CD11c+MHCII+XCR1-SIRPa+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
SRR8147083,6 weeks old,RNA-Seq,50,830859550,PRJNA503607,SAMN10366028,338912774,Dendritic Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967579,GSM3455074,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455074,Lin-CD11c+MHCII+XCR1-SIRPa+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:23:00Z,1
SRR8147084,6 weeks old,RNA-Seq,50,505509150,PRJNA503607,SAMN10366087,213499017,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967580,GSM3455075,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455075,Lin-F4/80+CD64+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:17:00Z,1
SRR8147085,6 weeks old,RNA-Seq,50,756948750,PRJNA503607,SAMN10366086,311413906,Macrophage,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4967581,GSM3455076,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-11-06T00:00:00Z,GSM3455076,Lin-F4/80+CD64+,Thymus,SRP167701,C57BL/6J,2018-11-04T02:19:00Z,1
